player,matches_2025,total_pts_2025,avg_pts_2025,median_pts_2025,std_pts_2025,floor_p10_2025,ceiling_p90_2025,avg_batting_pts,avg_bowling_pts,avg_fielding_pts,team_2025
A Badoni,13,759,58.4,58.0,39.3,14.4,92.8,43.5,6.6,2.5,Lucknow Super Giants
A Kamboj,8,474,59.2,60.5,39.9,15.0,95.4,2.8,50.0,1.0,Chennai Super Kings
A Manohar,7,177,25.3,16.0,27.5,7.2,52.0,13.3,0.0,8.0,Sunrisers Hyderabad
A Mhatre,7,554,79.1,82.0,61.5,12.2,134.6,66.6,0.0,4.6,Chennai Super Kings
A Nortje,2,74,37.0,37.0,26.9,21.8,52.2,0.0,32.0,4.0,Kolkata Knight Riders
A Raghuvanshi,11,586,53.3,56.0,28.6,13.0,78.0,45.8,0.0,1.5,Kolkata Knight Riders
A Zampa,2,76,38.0,38.0,5.7,34.8,41.2,0.0,40.0,0.0,Sunrisers Hyderabad
AD Russell,12,705,58.8,59.0,40.0,12.0,95.3,27.2,25.7,2.7,Kolkata Knight Riders
AK Markram,13,1119,86.1,80.0,55.0,22.6,155.6,61.6,13.1,4.6,Lucknow Super Giants
AM Rahane,12,818,68.2,62.0,35.2,31.2,122.8,58.8,0.0,3.3,Kolkata Knight Riders
AR Patel,13,907,69.8,55.0,52.7,16.6,139.0,35.8,24.2,3.4,Delhi Capitals
AS Roy,2,68,34.0,34.0,31.1,16.4,51.6,0.0,23.0,4.0,Kolkata Knight Riders
Abdul Samad,13,402,30.9,14.0,29.1,6.0,67.0,22.5,0.2,2.5,Lucknow Super Giants
Abhishek Sharma,14,1035,73.9,53.0,75.7,9.5,149.1,59.9,3.1,4.9,Sunrisers Hyderabad
Abishek Porel,13,637,49.0,62.0,29.3,15.2,81.8,39.8,0.0,3.2,Delhi Capitals
Akash Deep,6,176,29.3,17.0,29.7,8.0,63.0,2.0,28.3,0.0,Lucknow Super Giants
Akash Madhwal,4,190,47.5,28.0,57.0,7.6,103.0,1.0,46.0,0.0,Rajasthan Royals
Akash Singh,3,180,60.0,52.0,21.2,45.6,77.6,0.0,56.7,0.0,Lucknow Super Giants
Aniket Verma,13,542,41.7,26.0,39.2,13.4,76.8,32.6,0.0,4.2,Sunrisers Hyderabad
Arshad Khan,9,393,43.7,42.0,11.5,33.2,60.2,4.6,30.9,4.0,Gujarat Titans
Arshdeep Singh,16,1106,69.1,68.0,49.1,11.0,124.0,0.1,62.1,2.8,Punjab Kings
Ashok Sharma,1,12,12.0,12.0,,12.0,12.0,0.0,0.0,8.0,
Ashutosh Sharma,10,432,43.2,29.0,42.2,5.9,84.9,35.8,0.0,1.6,Delhi Capitals
Ashwani Kumar,7,492,70.3,62.0,60.0,21.6,129.6,0.0,67.1,2.3,Mumbai Indians
Atharva Taide,1,29,29.0,29.0,,29.0,29.0,25.0,0.0,0.0,Sunrisers Hyderabad
Avesh Khan,13,641,49.3,46.0,32.3,15.2,70.4,3.0,44.0,1.2,Lucknow Super Giants
Azmatullah Omarzai,8,453,56.6,48.0,32.5,25.7,94.9,12.4,42.8,0.0,Punjab Kings
B Kumar,14,896,64.0,58.5,33.7,32.8,93.5,1.3,56.0,3.3,Royal Challengers Bengaluru
B Sai Sudharsan,15,1535,102.3,98.0,54.0,34.6,172.0,91.3,0.0,3.7,Gujarat Titans
BKG Mendis,1,54,54.0,54.0,,54.0,54.0,36.0,0.0,8.0,Gujarat Titans
C Bosch,4,205,51.2,36.5,48.7,15.0,99.3,20.2,22.0,4.0,Mumbai Indians
C Sakariya,1,2,2.0,2.0,,2.0,2.0,0.0,6.0,0.0,Kolkata Knight Riders
CV Varun,13,931,71.6,79.0,44.9,19.2,115.2,0.1,63.2,1.2,Kolkata Knight Riders
D Brevis,6,503,83.8,85.0,39.9,43.0,123.5,68.5,0.0,8.0,Chennai Super Kings
D Ferreira,1,5,5.0,5.0,,5.0,5.0,1.0,0.0,0.0,Delhi Capitals
D Padikkal,10,523,52.3,46.0,45.8,4.5,108.5,45.1,0.0,0.8,Royal Challengers Bengaluru
DA Miller,10,327,32.7,31.5,18.1,10.8,59.2,23.7,0.0,4.0,Lucknow Super Giants
DJ Hooda,6,91,15.2,6.5,19.2,3.0,36.0,6.8,0.3,4.0,Chennai Super Kings
DL Chahar,14,685,48.9,51.0,32.5,10.9,93.6,4.6,40.1,1.6,Mumbai Indians
DP Conway,6,312,52.0,23.0,52.4,14.5,118.5,44.7,0.0,2.7,Chennai Super Kings
DS Rathi,13,727,55.9,56.0,25.1,22.8,86.0,0.1,48.9,1.8,Lucknow Super Giants
Dhruv Jurel,13,735,56.5,58.0,43.9,13.4,109.0,45.6,0.0,4.8,Rajasthan Royals
E Malinga,7,570,81.4,88.0,27.5,46.8,105.2,0.0,75.7,2.9,Sunrisers Hyderabad
F du Plessis,9,428,47.6,34.0,46.8,5.4,118.4,38.9,0.0,3.6,Delhi Capitals
Fazalhaq Farooqi,5,44,8.8,10.0,6.9,2.0,15.6,0.4,10.0,0.0,Rajasthan Royals
G Coetzee,4,159,39.8,34.5,27.2,17.3,66.4,7.8,25.5,4.0,Gujarat Titans
GJ Maxwell,7,332,47.4,51.0,28.8,14.2,78.2,10.6,26.6,5.7,Punjab Kings
H Klaasen,13,1033,79.5,64.0,48.9,44.6,129.8,66.2,0.0,5.7,Sunrisers Hyderabad
HH Pandya,15,1090,72.7,54.0,71.0,8.2,149.2,26.0,39.3,3.2,Mumbai Indians
HV Patel,13,791,60.8,52.0,54.3,11.8,154.8,1.6,55.4,2.3,Sunrisers Hyderabad
Harpreet Brar,7,461,65.9,52.0,41.7,28.8,111.0,2.4,59.7,0.0,Punjab Kings
Harsh Dubey,3,220,73.3,40.0,59.5,38.4,121.6,0.0,71.3,0.0,Sunrisers Hyderabad
Harshit Rana,13,857,65.9,76.0,41.8,17.2,107.2,7.6,53.7,3.7,Kolkata Knight Riders
Himmat Singh,1,12,12.0,12.0,,12.0,12.0,0.0,0.0,8.0,Lucknow Super Giants
I Sharma,7,222,31.7,44.0,18.1,10.0,46.4,0.0,28.6,2.3,Gujarat Titans
Ishan Kishan,14,780,55.7,23.0,70.3,5.3,161.6,44.6,0.0,6.1,Sunrisers Hyderabad
J Fraser-McGurk,6,139,23.2,11.5,33.6,2.5,55.5,15.2,0.0,4.0,Delhi Capitals
J Overton,3,35,11.7,12.0,5.5,7.2,16.0,8.3,6.7,0.0,Chennai Super Kings
JC Archer,12,765,63.8,62.0,37.3,27.2,85.8,8.6,51.2,0.7,Rajasthan Royals
JC Buttler,14,1174,83.9,75.5,60.8,13.5,152.7,69.9,0.0,6.7,Gujarat Titans
JD Unadkat,7,518,74.0,66.0,48.9,29.6,132.4,0.0,66.3,1.7,Sunrisers Hyderabad
JG Bethell,2,153,76.5,76.5,60.1,42.5,110.5,66.5,0.0,4.0,Royal Challengers Bengaluru
JJ Bumrah,12,1038,86.5,72.0,55.6,26.4,161.8,0.0,76.2,1.3,Mumbai Indians
JM Bairstow,2,177,88.5,88.5,9.2,83.3,93.7,75.5,0.0,4.0,Mumbai Indians
