match_id,date,player,team,opposition,venue,city,innings_batted,batting_pos,runs,balls_faced,fours,sixes,how_out,batting_pts,sr_bonus,overs_bowled,maidens,runs_conceded,wickets,dot_balls_bowled,bowling_pts,er_bonus,catches,stumpings,runout_direct,runout_indirect,fielding_pts,playing_xi_pts,total_fantasy_pts,role
2025-03-22_Kolkata Knight Riders_Royal Challengers Bengaluru,2025-03-22,Q de Kock,Kolkata Knight Riders,Royal Challengers Bengaluru,"Eden Gardens, Kolkata",Kolkata,1,1,4,5,1,0,caught,8,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,12,Opener
2025-03-22_Kolkata Knight Riders_Royal Challengers Bengaluru,2025-03-22,JR Hazlewood,Royal Challengers Bengaluru,Kolkata Knight Riders,"Eden Gardens, Kolkata",Kolkata,0,0,0,0,0,0,not out,0,0,4.0,0,22,2,16,92,8,0,0,0,0,0,4,104,Pure Bowler
2025-03-22_Kolkata Knight Riders_Royal Challengers Bengaluru,2025-03-22,JM Sharma,Royal Challengers Bengaluru,Kolkata Knight Riders,"Eden Gardens, Kolkata",Kolkata,0,0,0,0,0,0,not out,0,0,0.0,0,0,0,0,0,0,4,0,0,0,36,4,40,Unknown
2025-03-22_Kolkata Knight Riders_Royal Challengers Bengaluru,2025-03-22,AM Rahane,Kolkata Knight Riders,Royal Challengers Bengaluru,"Eden Gardens, Kolkata",Kolkata,1,2,56,31,6,4,caught,116,6,0.0,0,0,0,0,0,0,0,0,0,0,0,4,126,Opener
2025-03-22_Kolkata Knight Riders_Royal Challengers Bengaluru,2025-03-22,SP Narine,Kolkata Knight Riders,Royal Challengers Bengaluru,"Eden Gardens, Kolkata",Kolkata,1,3,44,26,5,3,caught,86,4,4.0,0,27,1,5,40,6,0,0,0,0,0,4,140,Batting AR
2025-03-22_Kolkata Knight Riders_Royal Challengers Bengaluru,2025-03-22,Yash Dayal,Royal Challengers Bengaluru,Kolkata Knight Riders,"Eden Gardens, Kolkata",Kolkata,0,0,0,0,0,0,not out,0,0,3.0,0,25,1,7,44,0,0,0,0,0,0,4,48,Pure Bowler
2025-03-22_Kolkata Knight Riders_Royal Challengers Bengaluru,2025-03-22,Rasikh Salam,Royal Challengers Bengaluru,Kolkata Knight Riders,"Eden Gardens, Kolkata",Kolkata,0,0,0,0,0,0,not out,0,0,3.0,0,35,1,9,48,-6,1,0,0,0,8,4,54,Pure Bowler
2025-03-22_Kolkata Knight Riders_Royal Challengers Bengaluru,2025-03-22,KH Pandya,Royal Challengers Bengaluru,Kolkata Knight Riders,"Eden Gardens, Kolkata",Kolkata,0,0,0,0,0,0,not out,0,0,4.0,0,29,3,8,134,2,0,0,0,0,0,4,140,Pure Bowler
2025-03-22_Kolkata Knight Riders_Royal Challengers Bengaluru,2025-03-22,Suyash Sharma,Royal Challengers Bengaluru,Kolkata Knight Riders,"Eden Gardens, Kolkata",Kolkata,0,0,0,0,0,0,not out,0,0,4.0,0,47,1,8,56,-6,0,0,0,0,0,4,54,Pure Bowler
2025-03-22_Kolkata Knight Riders_Royal Challengers Bengaluru,2025-03-22,VR Iyer,Kolkata Knight Riders,Royal Challengers Bengaluru,"Eden Gardens, Kolkata",Kolkata,1,4,6,7,1,0,bowled,10,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,14,Middle Order Bat
2025-03-22_Kolkata Knight Riders_Royal Challengers Bengaluru,2025-03-22,A Raghuvanshi,Kolkata Knight Riders,Royal Challengers Bengaluru,"Eden Gardens, Kolkata",Kolkata,1,5,30,22,2,1,caught,48,2,0.0,0,0,0,0,0,0,0,0,0,0,0,4,54,Middle Order Bat
2025-03-22_Kolkata Knight Riders_Royal Challengers Bengaluru,2025-03-22,RK Singh,Kolkata Knight Riders,Royal Challengers Bengaluru,"Eden Gardens, Kolkata",Kolkata,1,6,12,10,1,0,bowled,16,0,0.0,0,0,0,0,0,0,1,0,0,0,8,4,28,Lower Middle Bat
2025-03-22_Kolkata Knight Riders_Royal Challengers Bengaluru,2025-03-22,LS Livingstone,Royal Challengers Bengaluru,Kolkata Knight Riders,"Eden Gardens, Kolkata",Kolkata,2,5,15,5,2,1,not out,29,0,2.0,0,14,0,2,4,2,0,0,0,0,0,4,39,Batting AR
2025-03-22_Kolkata Knight Riders_Royal Challengers Bengaluru,2025-03-22,AD Russell,Kolkata Knight Riders,Royal Challengers Bengaluru,"Eden Gardens, Kolkata",Kolkata,1,7,4,3,1,0,bowled,8,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,12,Lower Middle Bat
2025-03-22_Kolkata Knight Riders_Royal Challengers Bengaluru,2025-03-22,Ramandeep Singh,Kolkata Knight Riders,Royal Challengers Bengaluru,"Eden Gardens, Kolkata",Kolkata,1,8,6,9,0,0,not out,6,0,0.0,0,0,0,0,0,0,1,0,0,0,8,4,18,Tail
2025-03-22_Kolkata Knight Riders_Royal Challengers Bengaluru,2025-03-22,Harshit Rana,Kolkata Knight Riders,Royal Challengers Bengaluru,"Eden Gardens, Kolkata",Kolkata,1,9,5,6,1,0,caught,9,0,3.0,0,32,0,4,8,-4,0,0,0,0,0,4,17,Pure Bowler
2025-03-22_Kolkata Knight Riders_Royal Challengers Bengaluru,2025-03-22,SH Johnson,Kolkata Knight Riders,Royal Challengers Bengaluru,"Eden Gardens, Kolkata",Kolkata,1,10,1,1,0,0,not out,1,0,2.3,0,31,0,7,14,-8,1,0,0,0,8,4,19,Pure Bowler
