player,matches,mean_pts,median_pts,std_pts,floor_p10,ceiling_p90,total_pts,avg_batting,avg_bowling,avg_fielding,modal_role,cv,dud_rate,boom_rate,batting_pct,bowling_pct
B Sai Sudharsan,15,102.33333333333333,98.0,53.95059468316051,34.6,172.0,1535,91.26666666666667,0.0,3.7333333333333334,Opener,0.53,0.0,0.8,89.2,0.0
MR Marsh,13,98.38461538461539,112.0,69.96610901183809,3.200000000000001,164.4,1279,90.84615384615384,0.0,0.6153846153846154,Opener,0.71,0.23,0.69,92.3,0.0
SA Yadav,16,93.4375,90.0,31.7888214104686,57.5,136.5,1495,82.8125,0.0,3.0,Middle Order Bat,0.34,0.0,0.75,88.6,0.0
SP Narine,12,91.08333333333333,70.5,68.16618507646433,20.3,186.00000000000003,1093,40.166666666666664,40.75,3.0,Batting AR,0.75,0.08,0.67,44.1,44.7
Shubman Gill,15,89.73333333333333,78.0,62.975581057452814,14.4,173.4,1346,78.53333333333333,0.0,4.533333333333333,Opener,0.7,0.13,0.67,87.5,0.0
YBK Jaiswal,14,88.64285714285714,99.5,50.35658560988537,21.3,138.8,1241,76.21428571428571,0.0,5.714285714285714,Opener,0.57,0.0,0.64,86.0,0.0
N Pooran,14,86.14285714285714,78.5,66.88895176433749,22.3,181.70000000000005,1206,74.28571428571429,0.0,4.571428571428571,Top Order Bat,0.78,0.0,0.57,86.2,0.0
V Kohli,15,85.13333333333334,97.0,46.88110595152481,18.6,134.0,1277,76.2,0.0,2.4,Opener,0.55,0.07,0.67,89.5,0.0
AK Markram,13,84.3076923076923,80.0,53.95736683621094,22.6,152.4,1096,61.61538461538461,11.615384615384615,4.615384615384615,Opener,0.64,0.08,0.69,73.1,13.8
D Brevis,6,84.16666666666667,85.0,39.23476349701456,44.0,123.5,505,68.83333333333333,0.0,8.0,Middle Order Bat,0.47,0.0,0.83,81.8,0.0
JC Buttler,14,84.0,75.5,60.55258363286726,13.5,152.70000000000002,1176,70.0,0.0,6.714285714285714,Top Order Bat,0.72,0.14,0.71,83.3,0.0
KL Rahul,13,83.15384615384616,64.0,70.14728095686264,19.0,200.60000000000005,1081,74.23076923076923,0.0,2.769230769230769,Middle Order Bat,0.84,0.0,0.62,89.3,0.0
H Klaasen,13,79.46153846153847,64.0,48.89208420016371,44.6,129.80000000000004,1033,66.23076923076923,0.0,5.6923076923076925,Middle Order Bat,0.62,0.0,0.62,83.3,0.0
V Suryavanshi,7,79.42857142857143,74.0,75.78007025345812,8.0,159.80000000000004,556,71.71428571428571,0.0,0.0,Opener,0.95,0.29,0.57,90.3,0.0
A Mhatre,7,79.42857142857143,82.0,61.12789091420583,13.0,134.60000000000002,556,66.85714285714286,0.0,4.571428571428571,Opener,0.77,0.14,0.71,84.2,0.0
SS Iyer,17,76.3529411764706,58.0,67.64885547486242,10.0,181.20000000000002,1298,66.58823529411765,0.0,3.2941176470588234,Top Order Bat,0.89,0.24,0.47,87.2,0.0
JR Hazlewood,12,74.66666666666667,84.0,47.6794854558366,12.500000000000002,121.5,896,0.0,70.0,0.6666666666666666,Pure Bowler,0.64,0.17,0.58,0.0,93.7
PD Salt,13,73.76923076923077,66.0,49.67755000358789,20.0,139.60000000000002,959,60.84615384615385,0.0,5.846153846153846,Opener,0.67,0.08,0.54,82.5,0.0
Abhishek Sharma,14,72.64285714285714,49.5,76.35907798820512,6.9,149.10000000000002,1017,60.07142857142857,1.5714285714285714,4.857142857142857,Opener,1.05,0.21,0.43,82.7,2.2
RA Jadeja,14,72.57142857142857,78.5,46.251343906818676,15.4,127.10000000000004,1016,35.92857142857143,27.5,3.857142857142857,Batting AR,0.64,0.14,0.57,49.5,37.9
E Malinga,7,72.28571428571429,79.0,25.499766572227585,39.0,94.80000000000001,506,0.0,66.57142857142857,2.857142857142857,Pure Bowler,0.35,0.0,0.71,0.0,92.1
P Simran Singh,18,71.83333333333333,59.5,55.43225860559578,14.0,159.60000000000002,1293,62.94444444444444,0.0,1.5555555555555556,Opener,0.77,0.17,0.5,87.6,0.0
R Parag,14,71.35714285714286,65.5,52.03934479404411,25.9,85.80000000000001,999,51.07142857142857,8.571428571428571,5.0,Batting AR,0.73,0.07,0.57,71.6,12.0
Noor Ahmad,14,71.14285714285714,52.5,50.28359136377951,26.9,145.10000000000002,996,0.5,65.35714285714286,1.1428571428571428,Pure Bowler,0.71,0.07,0.43,0.7,91.9
RD Rickelton,14,71.0,61.5,39.2251881399616,31.2,127.7,994,52.142857142857146,0.0,12.714285714285714,Opener,0.55,0.0,0.5,73.4,0.0
JJ Bumrah,12,70.66666666666667,54.5,48.163232550327955,19.3,136.10000000000002,848,0.0,63.0,1.3333333333333333,Pure Bowler,0.68,0.08,0.42,0.0,89.2
TM Head,12,68.66666666666667,44.0,57.41924500522187,12.8,149.3,824,59.833333333333336,0.0,2.0,Opener,0.84,0.17,0.42,87.1,0.0
M Prasidh Krishna,15,68.66666666666667,75.0,38.529518677551756,18.800000000000004,102.39999999999999,1030,0.0,62.4,2.1333333333333333,Pure Bowler,0.56,0.13,0.67,0.0,90.9
AM Rahane,12,68.16666666666667,62.0,35.15636069006143,31.2,122.80000000000001,818,58.833333333333336,0.0,3.3333333333333335,Top Order Bat,0.52,0.0,0.58,86.3,0.0
Priyansh Arya,18,67.83333333333333,51.0,59.46946819216414,12.000000000000002,147.3,1221,57.166666666666664,0.0,3.5555555555555554,Opener,0.88,0.11,0.33,84.3,0.0
HH Pandya,15,67.66666666666667,52.0,66.65333199973327,7.4,144.0,1015,26.0,34.06666666666667,3.2,Bowling AR,0.99,0.33,0.4,38.4,50.3
SV Samson,9,66.11111111111111,69.0,38.87944329734045,24.6,113.60000000000001,595,55.44444444444444,0.0,4.888888888888889,Opener,0.59,0.0,0.56,83.9,0.0
JD Unadkat,7,63.714285714285715,51.0,43.05699434359953,25.800000000000004,116.4,446,0.0,57.142857142857146,1.7142857142857142,Pure Bowler,0.68,0.14,0.43,0.0,89.7
AR Patel,13,63.69230769230769,52.0,48.319051824624715,16.200000000000003,125.60000000000001,828,35.76923076923077,18.53846153846154,3.3846153846153846,Batting AR,0.76,0.15,0.46,56.2,29.1
Ashwani Kumar,7,63.0,52.0,52.389566391283175,22.200000000000003,114.80000000000004,441,0.0,59.285714285714285,2.2857142857142856,Pure Bowler,0.83,0.14,0.43,0.0,94.1
PJ Cummins,14,62.07142857142857,65.0,51.717374384115956,5.800000000000001,126.7,869,11.642857142857142,44.714285714285715,2.857142857142857,Pure Bowler,0.83,0.29,0.57,18.8,72.0
M Jansen,14,61.357142857142854,55.5,37.38491498093674,19.700000000000003,95.80000000000001,859,8.5,46.57142857142857,3.4285714285714284,Pure Bowler,0.61,0.14,0.43,13.9,75.9
JP Inglis,11,61.09090909090909,65.0,42.02726387823634,23.0,100.0,672,46.36363636363637,0.0,7.636363636363637,Top Order Bat,0.69,0.0,0.55,75.9,0.0
KH Pandya,15,60.86666666666667,47.0,52.54231854510456,9.4,132.79999999999998,913,12.066666666666666,41.733333333333334,3.2,Pure Bowler,0.86,0.33,0.47,19.8,68.6
Washington Sundar,6,60.166666666666664,50.0,34.781700169294005,29.0,101.5,361,37.166666666666664,14.0,4.0,Other,0.58,0.0,0.5,61.8,23.3
CV Varun,13,59.84615384615385,73.0,39.874482554314845,11.4,97.2,778,0.07692307692307693,52.84615384615385,1.2307692307692308,Pure Bowler,0.67,0.23,0.54,0.1,88.3
VG Arora,12,59.666666666666664,50.0,30.7374019524728,32.5,97.2,716,0.0,54.0,3.6666666666666665,Pure Bowler,0.52,0.08,0.33,0.0,90.5
R Shepherd,7,59.285714285714285,46.0,40.58207439134626,26.0,104.80000000000001,415,20.285714285714285,30.714285714285715,4.571428571428571,Other,0.68,0.14,0.43,34.2,51.8
TA Boult,16,59.1875,45.5,45.262521287852856,9.0,123.0,947,0.125,55.1875,0.5,Pure Bowler,0.76,0.25,0.38,0.2,93.2
KK Nair,8,58.75,34.0,65.2549943354092,2.0,121.89999999999998,470,47.75,0.0,5.0,Opener,1.11,0.25,0.38,81.3,0.0
Arshdeep Singh,16,58.5625,54.0,43.898320013412814,6.0,112.0,937,0.125,51.9375,2.75,Pure Bowler,0.75,0.25,0.5,0.2,88.7
RG Sharma,15,58.53333333333333,35.0,57.973967885430724,13.8,152.0,878,52.53333333333333,0.0,0.5333333333333333,Opener,0.99,0.13,0.27,89.7,0.0
Harpreet Brar,7,58.42857142857143,42.0,37.05337205913088,26.200000000000003,100.4,409,2.4285714285714284,52.57142857142857,0.0,Pure Bowler,0.63,0.14,0.43,4.2,90.0
A Badoni,13,57.84615384615385,58.0,39.05945500952395,13.600000000000001,91.60000000000001,752,43.46153846153846,6.076923076923077,2.4615384615384617,Middle Order Bat,0.68,0.15,0.46,75.1,10.5
Harshit Rana,13,57.84615384615385,67.0,37.174915722491676,14.2,95.80000000000001,752,7.615384615384615,44.84615384615385,3.6923076923076925,Pure Bowler,0.64,0.15,0.62,13.2,77.5
WG Jacks,13,57.76923076923077,40.0,46.77099144796527,12.600000000000001,126.00000000000001,751,31.307692307692307,16.923076923076923,4.153846153846154,Other,0.81,0.15,0.38,54.2,29.3
SM Curran,5,57.6,22.0,72.73444850962989,14.4,131.0,288,41.2,9.6,4.8,Batting AR,1.26,0.2,0.2,71.5,16.7
V Nigam,14,56.857142857142854,49.0,48.37808967331762,7.3,105.4,796,18.571428571428573,30.571428571428573,3.0,Pure Bowler,0.85,0.29,0.5,32.7,53.8
AD Russell,12,56.833333333333336,56.5,38.88639241626195,12.0,90.10000000000001,682,27.416666666666668,23.083333333333332,2.6666666666666665,Bowling AR,0.68,0.25,0.5,48.2,40.6
Dhruv Jurel,13,56.69230769230769,58.0,43.7252494092079,13.4,109.0,737,45.76923076923077,0.0,4.769230769230769,Middle Order Bat,0.77,0.15,0.46,80.7,0.0
